"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2021","77.68","78.57","78.87","77.65","5.69M","-1.38%"
"12/30/2021","78.77","78.63","79.19","78.61","4.48M","0.42%"
"12/29/2021","78.44","78.87","79.07","78.19","3.78M","-0.49%"
"12/28/2021","78.83","78.96","79.54","78.71","3.21M","-0.05%"
"12/27/2021","78.87","78.35","79.04","78.34","2.67M","0.97%"
"12/23/2021","78.11","77.52","78.37","77.48","2.38M","0.89%"
"12/22/2021","77.42","77.06","77.63","76.90","3.27M","0.25%"
"12/21/2021","77.23","76.15","77.32","75.98","5.20M","1.90%"
"12/20/2021","75.79","75.56","75.84","75.08","4.49M","-0.90%"
"12/17/2021","76.48","76.29","77.07","75.82","9.93M","-0.40%"
"12/16/2021","76.79","77.08","77.69","76.55","7.37M","-0.14%"
"12/15/2021","76.90","75.92","76.99","74.91","6.69M","1.05%"
"12/14/2021","76.10","75.43","76.24","75.33","7.01M","-0.26%"
"12/13/2021","76.30","76.61","76.95","76.07","4.98M","-0.52%"
"12/10/2021","76.70","77.13","77.28","76.12","4.26M","0.05%"
"12/09/2021","76.66","77.05","77.50","76.48","4.07M","-0.79%"
"12/08/2021","77.27","76.92","77.46","76.64","9.48M","0.73%"
"12/07/2021","76.71","76.73","77.08","76.48","4.55M","1.03%"
"12/06/2021","75.93","75.12","76.11","74.83","7.74M","1.65%"
"12/03/2021","74.70","75.23","75.36","73.73","8.99M","-0.23%"
"12/02/2021","74.87","73.91","75.18","73.76","7.58M","1.68%"
"12/01/2021","73.63","76.45","76.66","73.59","9.39M","-2.31%"
"11/30/2021","75.37","77.53","77.53","75.29","10.42M","-3.17%"
"11/29/2021","77.84","78.05","78.20","77.38","6.52M","0.86%"
"11/26/2021","77.18","77.86","77.86","77.11","4.96M","-1.83%"
"11/24/2021","78.62","78.30","78.72","77.90","4.24M","0.14%"
"11/23/2021","78.51","78.57","78.93","77.95","5.08M","-0.27%"
"11/22/2021","78.72","79.80","80.00","78.71","4.52M","-1.22%"
"11/19/2021","79.69","80.29","80.48","79.57","6.86M","-0.34%"
"11/18/2021","79.96","80.35","80.37","79.63","3.34M","-0.72%"
"11/17/2021","80.54","80.84","81.02","80.44","7.33M","-0.38%"
"11/16/2021","80.85","81.29","81.44","80.80","2.38M","-0.75%"
"11/15/2021","81.46","81.46","81.91","81.25","2.32M","0.28%"
"11/12/2021","81.23","80.46","81.30","80.16","3.24M","1.46%"
"11/11/2021","80.06","80.23","80.52","80.01","2.05M","-0.20%"
"11/10/2021","80.22","80.73","81.02","79.91","4.07M","-1.13%"
"11/09/2021","81.14","81.52","81.67","80.75","3.92M","-0.25%"
"11/08/2021","81.34","82.11","82.11","81.26","3.17M","-0.44%"
"11/05/2021","81.70","81.76","82.35","81.61","3.24M","0.80%"
"11/04/2021","81.05","80.98","81.42","80.68","6.28M","0.40%"
"11/03/2021","80.73","80.00","80.76","79.76","2.83M","0.36%"
"11/02/2021","80.44","80.64","80.78","79.97","3.98M","0.01%"
"11/01/2021","80.43","80.58","81.06","80.21","4.12M","0.16%"
"10/29/2021","80.30","79.87","80.44","79.76","2.85M","0.31%"
"10/28/2021","80.05","79.85","80.52","79.35","3.59M","0.33%"
"10/27/2021","79.79","79.89","80.61","79.68","5.85M","-0.27%"
"10/26/2021","80.01","81.07","81.17","79.63","6.56M","-0.89%"
"10/25/2021","80.73","80.14","80.73","79.69","3.23M","0.44%"
"10/22/2021","80.38","80.88","81.20","79.98","3.13M","-2.12%"
"10/21/2021","82.12","81.85","82.16","81.56","2.68M","0.29%"
"10/20/2021","81.88","81.91","82.11","81.60","2.93M","0.20%"
"10/19/2021","81.72","81.36","81.73","81.16","2.46M","0.96%"
"10/18/2021","80.94","80.22","80.96","80.06","2.98M","0.77%"
"10/15/2021","80.32","80.78","80.80","80.20","3.10M","-0.24%"
"10/14/2021","80.51","80.13","80.64","79.96","3.61M","1.41%"
"10/13/2021","79.39","79.52","79.65","78.90","4.69M","0.47%"
"10/12/2021","79.02","79.77","79.84","78.74","7.99M","-0.93%"
"10/11/2021","79.76","80.64","80.95","79.73","3.59M","-1.51%"
"10/08/2021","80.98","81.53","81.64","80.88","2.73M","-0.49%"
"10/07/2021","81.38","81.72","82.14","81.32","4.26M","0.43%"
"10/06/2021","81.03","80.08","81.09","79.73","6.60M","0.17%"
"10/05/2021","80.89","79.98","81.32","79.91","3.32M","1.49%"
"10/04/2021","79.70","80.90","80.95","79.08","9.45M","-2.16%"
"10/01/2021","81.46","80.53","81.82","80.17","7.31M","1.69%"
"09/30/2021","80.11","80.61","80.95","80.10","10.77M","-0.31%"
"09/29/2021","80.36","80.82","81.29","80.25","5.47M","-0.09%"
"09/28/2021","80.43","81.61","81.81","80.31","8.98M","-2.44%"
"09/27/2021","82.44","82.01","82.68","81.76","3.46M","-0.01%"
"09/24/2021","82.45","81.41","82.61","81.30","4.40M","0.82%"
"09/23/2021","81.78","81.31","82.18","81.17","3.99M","1.03%"
"09/22/2021","80.95","80.74","81.38","80.59","6.82M","-0.05%"
"09/21/2021","80.99","81.88","82.13","80.93","6.47M","-0.42%"
"09/20/2021","81.33","81.92","82.04","80.31","8.94M","-2.18%"
"09/17/2021","83.14","83.84","84.03","82.78","9.97M","-1.11%"
"09/16/2021","84.07","84.04","84.33","83.46","3.86M","-0.10%"
"09/15/2021","84.15","83.72","84.30","83.01","5.00M","0.49%"
"09/14/2021","83.74","84.69","84.79","83.60","5.47M","-0.86%"
"09/13/2021","84.47","84.82","84.89","84.05","5.29M","0.25%"
"09/10/2021","84.26","85.13","85.26","84.21","5.10M","-0.65%"
"09/09/2021","84.81","85.08","85.36","84.68","4.11M","-0.49%"
"09/08/2021","85.23","85.52","85.76","84.95","3.81M","-0.51%"
"09/07/2021","85.67","85.47","85.83","85.27","4.12M","0.23%"
"09/03/2021","85.47","85.34","85.61","85.11","2.80M","0.00%"
"09/02/2021","85.47","86.12","86.24","85.32","3.23M","-0.67%"
"09/01/2021","86.05","85.76","86.36","85.75","3.72M","0.50%"
"08/31/2021","85.62","85.27","85.81","85.17","6.09M","0.38%"
"08/30/2021","85.30","84.70","85.48","84.42","2.73M","0.68%"
"08/27/2021","84.72","83.59","84.86","83.43","3.44M","1.58%"
"08/26/2021","83.40","84.07","84.20","83.40","3.28M","-0.87%"
"08/25/2021","84.13","84.03","84.32","83.85","3.84M","0.15%"
"08/24/2021","84.00","83.91","84.33","83.73","3.13M","0.32%"
"08/23/2021","83.73","82.84","84.08","82.84","3.06M","1.21%"
"08/20/2021","82.73","82.00","82.86","81.83","4.14M","0.87%"
"08/19/2021","82.02","81.50","82.39","81.42","4.41M","0.01%"
"08/18/2021","82.01","82.45","82.92","81.96","3.04M","-0.76%"
"08/17/2021","82.64","82.79","83.13","82.10","5.94M","-0.83%"
"08/16/2021","83.33","82.90","83.35","82.25","3.48M","0.17%"
"08/13/2021","83.19","83.35","83.45","83.13","2.14M","0.06%"
"08/12/2021","83.14","82.90","83.18","82.47","2.27M","0.18%"
"08/11/2021","82.99","82.99","83.08","82.68","2.46M","0.19%"
"08/10/2021","82.83","82.75","82.92","82.47","6.25M","0.19%"
"08/09/2021","82.67","82.81","82.82","82.39","2.37M","-0.18%"
"08/08/2021","82.82","82.82","82.82","82.82","","0.00%"
"08/07/2021","82.82","82.82","82.82","82.82","","0.00%"
"08/06/2021","82.82","82.65","83.05","82.61","2.76M","0.00%"
"08/05/2021","82.82","82.31","82.83","82.11","2.26M","0.91%"
"08/04/2021","82.07","81.96","82.27","81.59","3.86M","0.28%"
"08/03/2021","81.84","82.24","82.25","80.91","4.86M","-0.45%"
"08/02/2021","82.21","82.75","82.83","82.06","3.99M","-0.23%"
"07/30/2021","82.40","82.17","82.93","82.03","3.00M","-0.34%"
"07/29/2021","82.68","83.04","83.32","82.64","5.29M","-1.08%"
"07/28/2021","83.58","83.81","84.18","83.20","7.30M","0.78%"
"07/27/2021","82.93","83.83","83.91","82.32","4.86M","-1.19%"
"07/26/2021","83.93","83.40","83.96","83.27","3.19M","0.51%"
"07/23/2021","83.50","82.43","83.73","82.07","3.87M","2.48%"
"07/22/2021","81.48","81.19","81.50","80.82","2.25M","0.34%"
"07/21/2021","81.20","80.60","81.21","80.56","2.61M","0.83%"
"07/20/2021","80.53","79.90","80.82","79.47","4.11M","1.13%"
"07/19/2021","79.63","80.21","80.22","79.26","6.90M","-1.52%"
"07/16/2021","80.86","81.49","81.72","80.76","3.51M","-0.63%"
"07/15/2021","81.37","82.05","82.05","81.03","4.50M","-0.71%"
"07/14/2021","81.95","82.48","82.54","81.86","3.46M","-0.07%"
"07/13/2021","82.01","82.14","82.64","81.93","3.98M","-0.26%"
"07/12/2021","82.22","81.81","82.26","81.50","3.57M","0.71%"
"07/09/2021","81.64","80.95","81.76","80.94","2.91M","0.89%"
"07/08/2021","80.92","80.77","81.29","80.52","5.24M","-1.10%"
"07/07/2021","81.82","82.32","82.32","81.63","3.65M","-0.15%"
