"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2021","51.81","51.72","52.17","51.66","3.98M","0.21%"
"12/30/2021","51.70","51.52","51.87","51.44","3.66M","0.45%"
"12/29/2021","51.47","51.26","51.62","51.02","4.40M","0.61%"
"12/28/2021","51.16","50.94","51.18","50.77","5.59M","0.43%"
"12/27/2021","50.94","50.06","50.94","49.96","5.18M","2.04%"
"12/23/2021","49.92","50.17","50.19","49.63","5.26M","-0.30%"
"12/22/2021","50.07","49.73","50.10","49.67","4.53M","0.99%"
"12/21/2021","49.58","49.64","49.89","49.38","6.02M","0.57%"
"12/20/2021","49.30","49.05","49.50","48.77","9.76M","-1.50%"
"12/17/2021","50.05","50.17","50.65","49.98","8.63M","-0.34%"
"12/16/2021","50.22","50.14","50.55","49.90","7.16M","0.38%"
"12/15/2021","50.03","49.46","50.10","49.41","8.20M","1.48%"
"12/14/2021","49.30","49.74","49.85","48.93","8.92M","-1.10%"
"12/13/2021","49.85","49.05","50.08","48.98","5.10M","1.34%"
"12/10/2021","49.19","49.14","49.23","48.88","3.68M","0.51%"
"12/09/2021","48.94","49.46","49.47","48.90","3.57M","-1.27%"
"12/08/2021","49.57","49.36","49.70","49.19","6.93M","0.43%"
"12/07/2021","49.36","48.88","49.44","48.76","7.76M","1.77%"
"12/06/2021","48.50","48.16","48.90","48.14","8.71M","1.44%"
"12/03/2021","47.81","48.11","48.34","47.40","11.83M","-0.50%"
"12/02/2021","48.05","47.04","48.34","47.00","10.10M","2.74%"
"12/01/2021","46.77","47.88","48.43","46.76","12.30M","-1.31%"
"11/30/2021","47.39","48.05","48.30","47.39","11.02M","-2.09%"
"11/29/2021","48.40","48.12","48.76","47.81","7.17M","1.26%"
"11/26/2021","47.80","48.47","48.59","47.73","6.83M","-2.71%"
"11/24/2021","49.13","48.47","49.19","48.34","5.09M","1.34%"
"11/23/2021","48.48","48.09","48.61","47.91","9.78M","1.06%"
"11/22/2021","47.97","48.22","48.42","47.86","5.42M","-0.50%"
"11/19/2021","48.21","48.52","48.59","48.09","5.10M","-0.54%"
"11/18/2021","48.47","48.53","48.58","48.25","5.48M","-0.02%"
"11/17/2021","48.48","48.06","48.54","47.46","15.34M","0.66%"
"11/16/2021","48.16","48.53","48.54","48.07","4.94M","-0.62%"
"11/15/2021","48.46","48.24","48.46","48.02","3.59M","0.56%"
"11/12/2021","48.19","48.33","48.35","48.01","3.90M","0.04%"
"11/11/2021","48.17","48.21","48.21","47.81","4.19M","0.04%"
"11/10/2021","48.15","48.29","48.54","48.15","5.06M","-0.50%"
"11/09/2021","48.39","48.31","48.47","48.21","4.41M","0.37%"
"11/08/2021","48.21","48.42","48.42","47.77","5.79M","-0.02%"
"11/05/2021","48.22","48.58","48.85","48.14","5.73M","0.23%"
"11/04/2021","48.11","48.58","48.70","47.92","4.62M","-1.13%"
"11/03/2021","48.66","48.46","48.76","48.16","4.81M","0.58%"
"11/02/2021","48.38","48.14","48.54","47.92","6.62M","0.94%"
"11/01/2021","47.93","47.89","48.02","47.16","6.77M","0.23%"
"10/29/2021","47.82","48.22","48.36","47.61","7.93M","-1.20%"
"10/28/2021","48.40","47.73","48.40","47.70","6.69M","1.47%"
