"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2021","140.89","141.32","141.86","140.84","7.88M","-0.42%"
"12/30/2021","141.49","141.46","141.98","141.31","7.83M","0.21%"
"12/29/2021","141.20","140.26","141.49","140.16","7.08M","0.57%"
"12/28/2021","140.40","140.90","141.15","140.03","6.03M","-0.26%"
"12/27/2021","140.77","139.80","140.77","139.65","6.89M","1.06%"
"12/23/2021","139.30","139.09","139.75","138.68","7.74M","0.41%"
"12/22/2021","138.73","137.06","138.81","136.82","7.19M","1.17%"
"12/21/2021","137.13","136.95","137.19","135.68","10.29M","0.42%"
"12/20/2021","136.56","137.11","137.52","135.38","15.91M","-0.99%"
"12/17/2021","137.92","138.19","139.04","137.38","21.51M","-0.70%"
"12/16/2021","138.89","138.06","139.59","137.81","19.23M","0.59%"
"12/15/2021","138.07","135.59","138.14","135.47","14.98M","2.05%"
"12/14/2021","135.30","135.22","136.01","134.63","10.98M","-0.40%"
"12/13/2021","135.85","134.58","136.23","134.58","12.13M","0.94%"
"12/10/2021","134.58","133.76","134.86","133.70","8.55M","0.35%"
"12/09/2021","134.11","133.67","134.55","133.57","9.07M","0.23%"
"12/08/2021","133.80","133.18","133.89","132.51","15.14M","0.75%"
"12/07/2021","132.80","132.00","133.12","131.82","11.97M","1.29%"
"12/06/2021","131.11","130.71","131.68","130.51","15.13M","0.57%"
"12/03/2021","130.37","131.04","131.54","129.29","22.11M","0.18%"
"12/02/2021","130.13","129.11","130.65","128.86","17.53M","0.49%"
"12/01/2021","129.50","130.40","132.09","129.50","22.24M","-0.18%"
"11/30/2021","129.73","131.57","132.16","129.55","19.47M","-1.96%"
"11/29/2021","132.33","132.71","133.22","132.19","17.14M","0.27%"
"11/26/2021","131.97","132.94","133.72","131.51","11.90M","-0.37%"
"11/24/2021","132.46","132.26","132.70","131.80","6.76M","-0.04%"
"11/23/2021","132.51","131.76","132.65","131.35","12.08M","0.11%"
"11/22/2021","132.37","133.13","133.61","132.22","11.15M","-0.45%"
"11/19/2021","132.97","134.18","134.63","132.85","10.17M","-0.61%"
"11/18/2021","133.78","133.87","134.12","133.32","9.03M","0.04%"
"11/17/2021","133.73","133.69","134.25","133.11","7.99M","0.14%"
"11/16/2021","133.54","132.99","134.26","132.73","6.15M","0.42%"
"11/15/2021","132.98","134.13","134.13","132.85","6.27M","-0.62%"
"11/12/2021","133.81","134.00","134.12","133.07","8.32M","0.50%"
"11/11/2021","133.15","133.52","133.61","132.83","8.50M","-0.29%"
"11/10/2021","133.54","133.13","134.06","133.13","8.45M","0.29%"
"11/09/2021","133.16","133.68","133.80","132.91","7.29M","-0.37%"
"11/08/2021","133.65","133.14","133.82","132.58","8.95M","0.59%"
"11/05/2021","132.86","133.15","133.70","131.90","14.87M","-1.12%"
"11/04/2021","134.36","135.05","135.05","133.44","15.82M","-0.69%"
"11/03/2021","135.29","134.29","135.34","133.74","14.61M","0.59%"
"11/02/2021","134.50","134.24","135.16","133.01","20.85M","0.63%"
"11/01/2021","133.66","133.99","134.47","133.15","14.36M","-0.12%"
"10/29/2021","133.82","132.36","133.99","131.85","15.42M","0.97%"
"10/28/2021","132.53","131.85","133.02","131.67","9.28M","0.84%"
"10/27/2021","131.43","132.68","132.80","131.41","11.85M","-0.79%"
"10/26/2021","132.48","132.15","132.85","131.41","9.27M","0.49%"
"10/25/2021","131.83","131.74","131.96","130.71","10.63M","0.12%"
"10/22/2021","131.67","131.02","131.72","130.82","8.01M","0.40%"
"10/21/2021","131.14","130.85","131.20","129.96","8.27M","0.41%"
"10/20/2021","130.61","129.64","130.80","129.64","13.67M","1.43%"
"10/19/2021","128.77","127.91","129.09","127.91","9.49M","1.31%"
"10/18/2021","127.10","127.46","127.54","126.55","11.66M","-0.68%"
"10/15/2021","127.97","128.00","128.55","127.73","8.98M","0.49%"
"10/14/2021","127.34","127.03","127.84","127.03","8.86M","1.43%"
"10/13/2021","125.54","125.55","126.11","124.76","10.61M","0.16%"
"10/12/2021","125.34","126.46","126.46","125.03","13.01M","-0.48%"
"10/11/2021","125.95","126.77","127.50","125.91","7.84M","-0.78%"
"10/08/2021","126.94","127.76","128.00","126.68","9.55M","-0.50%"
"10/07/2021","127.58","126.71","128.40","126.65","15.81M","1.33%"
"10/06/2021","125.91","125.46","126.02","124.50","21.32M","-0.18%"
"10/05/2021","126.14","125.90","127.42","125.73","19.15M","0.60%"
"10/04/2021","125.39","126.81","127.44","124.77","27.58M","-1.52%"
"10/01/2021","127.33","127.47","127.93","125.28","23.19M","0.02%"
"09/30/2021","127.30","129.32","130.12","127.22","21.65M","-1.23%"
"09/29/2021","128.88","128.50","129.47","128.20","11.17M","0.79%"
"09/28/2021","127.87","129.21","129.22","127.45","17.43M","-1.71%"
"09/27/2021","130.10","131.71","131.71","129.82","11.63M","-1.42%"
"09/24/2021","131.98","132.30","132.79","131.70","6.96M","-0.41%"
"09/23/2021","132.52","131.89","133.29","131.78","10.37M","0.72%"
"09/22/2021","131.57","131.72","132.23","130.94","11.96M","0.17%"
"09/21/2021","131.35","131.82","132.70","131.34","11.74M","0.15%"
"09/20/2021","131.15","130.86","132.32","130.02","17.25M","-1.39%"
"09/17/2021","133.00","132.76","133.11","132.13","13.54M","0.10%"
"09/16/2021","132.87","133.37","133.63","131.98","10.53M","-0.26%"
"09/15/2021","133.21","132.20","133.83","131.99","10.30M","0.65%"
"09/14/2021","132.35","132.98","133.30","132.13","10.44M","-0.02%"
"09/13/2021","132.37","133.94","133.94","131.71","11.68M","-0.62%"
"09/10/2021","133.19","134.90","135.02","133.12","10.56M","-0.92%"
"09/09/2021","134.42","135.84","136.11","134.35","8.91M","-1.15%"
"09/08/2021","135.99","135.70","136.21","135.43","6.99M","-0.04%"
"09/07/2021","136.05","136.44","136.46","135.16","8.74M","-0.58%"
"09/03/2021","136.85","136.56","137.04","135.91","5.63M","0.11%"
"09/02/2021","136.70","135.79","136.70","135.67","6.85M","1.07%"
"09/01/2021","135.25","135.44","135.44","134.01","10.57M","0.03%"
"08/31/2021","135.21","135.48","136.05","134.73","9.30M","-0.13%"
"08/30/2021","135.39","134.59","135.88","134.50","6.42M","0.56%"
"08/27/2021","134.63","135.08","135.45","134.41","8.68M","-0.11%"
"08/26/2021","134.78","135.38","135.69","134.53","5.97M","-0.39%"
"08/25/2021","135.31","135.49","135.54","134.76","6.92M","-0.27%"
"08/24/2021","135.68","136.06","136.12","135.30","6.55M","-0.35%"
"08/23/2021","136.16","136.94","136.97","136.13","8.47M","0.04%"
"08/20/2021","136.11","135.47","136.52","135.00","7.25M","0.57%"
"08/19/2021","135.34","133.87","136.03","133.83","11.67M","0.45%"
"08/18/2021","134.73","136.62","136.78","134.66","12.43M","-1.52%"
"08/17/2021","136.81","134.84","136.81","134.84","13.87M","1.18%"
"08/16/2021","135.21","133.76","135.23","133.25","8.40M","1.14%"
"08/13/2021","133.69","133.19","133.72","133.03","7.92M","0.62%"
"08/12/2021","132.86","131.93","132.97","131.86","8.22M","0.79%"
"08/11/2021","131.82","133.26","133.55","131.72","14.51M","-0.99%"
"08/10/2021","133.14","133.52","133.79","132.63","5.83M","-0.23%"
"08/09/2021","133.45","133.23","133.70","133.04","9.85M","0.38%"
"08/08/2021","132.94","132.94","132.94","132.94","","0.00%"
